rank,label,ckpt_epoch,epoch_check,survived,truncated_at_step,truncated_channel,steps_run,median_cross_3sigma,n_past_3sigma,ps_drift_hpa@600,ps_drift_hpa@1460,t17_drift_k@1460,z10_drift_m@1460,trefht_drift_k@1460,ps_drift_hpa@last,first_past_3sigma,run_dir,ckpt,nc
11,C1_e20,20,ok,1,-1,,1460,-1,1,-29.125900314426545,-57.562116327338735,-1.9817803424267026,220.29730096275307,-1.8792146192709538,-57.562116327338735,V_l00@430,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v19.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_C1_e20.nc
12,B_e23,23,ok,1,-1,,1460,-1,1,-34.903915993350964,-68.0920168797375,-0.6126886980521249,323.23830233259287,-0.6444058339036474,-68.0920168797375,SOILWATER_10CM@733,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/ckpt_mp0_v2.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_B_e23.nc
13,C1_e12,12,ok,1,-1,,1460,-1,3,-8.244003313349676,-25.329552126378985,-0.9834864448608869,106.76709278542876,-0.9327108890980753,-25.329552126378985,V_l00@640 RELHUM_l04@1110 RELHUM_l00@1243,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v11.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_C1_e12.nc
14,C1_e09,9,ok,1,-1,,1460,-1,3,-21.80582384516194,-38.13540192970701,-1.2611613637588448,152.37559547339515,-1.1985354781057254,-38.13540192970701,V_l01@673 V_l00@698 RELHUM_l00@738,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v8.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_C1_e09.nc
15,C1_e13,13,ok,1,-1,,1460,-1,3,-49.55491099893872,-81.26832787689084,-0.8777089001715694,395.8929190427825,-0.8954978802865412,-81.26832787689084,V_l00@670 RELHUM_l04@1158 RELHUM_l00@1191,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v12.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_C1_e13.nc
16,nf4p_r2_e01,1,ok,1,-1,,1460,-1,6,-49.20472964248067,-148.47470585518516,-9.328158455823882,644.4436938090912,-8.643725232742327,-148.47470585518516,V_l00@867 Z3_l13@1416 Z3_l12@1429,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_proxy_b8_r2,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_proxy_b8_r2/training_checkpoints/best_ckpt_mp0.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_nf4p_r2_e01.nc
17,nf3p_r1_e01,1,ok,1,-1,,1460,-1,18,-56.12500524571806,-246.85548754314777,-6.979807564036946,1173.5764020569222,-7.2026034397455305,-246.85548754314777,RELHUM_l00@799 V_l00@812 RELHUM_l04@829,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf3_proxy_b8_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf3_proxy_b8_r1/training_checkpoints/best_ckpt_mp0.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_nf3p_r1_e01.nc
18,crps_e01,1,ok,1,-1,,1460,-1,30,-66.14919053850782,-206.9365551664085,-3.578174069411375,1193.096555141119,-1.8479741930949558,-206.9365551664085,SOILWATER_10CM@995 RELHUM_l05@1017 U_l06@1019,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_crps_b4_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_crps_b4_r1/training_checkpoints/best_ckpt_mp0.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_crps_e01.nc
19,C1_e03,3,ok,1,-1,,1460,-1,33,-40.624601685870005,-152.11832885585724,-11.272208823529752,815.3713124114747,-11.049329416845126,-152.11832885585724,V_l00@355 RELHUM_l00@1021 RELHUM_l04@1081,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v2.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_C1_e03.nc
20,C1_e07,7,ok,1,-1,,1460,1442,70,-47.16122826151812,-318.8030007461805,-73.96387557616717,1903.0846753789956,-69.81242355463093,-318.8030007461805,V_l00@672 RELHUM_l00@1123 RELHUM_l01@1319,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v6.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_C1_e07.nc
