timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/05/29 23:07:23.018, 1, 0, 0, 56791
2026/05/29 23:07:23.019, 2, 0, 0, 56743
2026/05/29 23:07:23.020, 3, 0, 0, 56791
2026/05/29 23:07:24.021, 0, 0, 0, 56743
2026/05/29 23:07:24.022, 1, 0, 0, 56791
2026/05/29 23:07:24.023, 2, 0, 0, 56743
2026/05/29 23:07:24.025, 3, 0, 0, 56791
2026/05/29 23:07:25.026, 0, 0, 0, 56743
2026/05/29 23:07:25.027, 1, 0, 0, 56791
2026/05/29 23:07:25.028, 2, 0, 0, 56743
2026/05/29 23:07:25.029, 3, 0, 0, 56791
2026/05/29 23:07:26.030, 0, 0, 0, 56743
2026/05/29 23:07:26.032, 1, 24, 21, 56791
2026/05/29 23:07:26.034, 2, 0, 0, 56743
2026/05/29 23:07:26.035, 3, 0, 0, 56791
2026/05/29 23:07:27.037, 0, 27, 15, 56743
2026/05/29 23:07:27.044, 1, 82, 54, 56801
2026/05/29 23:07:27.046, 2, 98, 43, 56743
2026/05/29 23:07:27.048, 3, 98, 50, 56791
2026/05/29 23:07:28.050, 0, 12, 3, 56753
2026/05/29 23:07:28.052, 1, 99, 85, 56801
2026/05/29 23:07:28.054, 2, 0, 0, 56753
2026/05/29 23:07:28.056, 3, 0, 0, 56801
2026/05/29 23:07:29.057, 0, 98, 87, 56753
2026/05/29 23:07:29.059, 1, 0, 0, 56801
2026/05/29 23:07:29.060, 2, 58, 44, 56753
2026/05/29 23:07:29.062, 3, 40, 36, 56801
2026/05/29 23:07:30.063, 0, 0, 0, 56753
2026/05/29 23:07:30.064, 1, 0, 0, 56801
2026/05/29 23:07:30.065, 2, 0, 0, 56753
2026/05/29 23:07:30.067, 3, 0, 0, 56801
2026/05/29 23:07:31.068, 0, 0, 0, 56753
2026/05/29 23:07:31.070, 1, 0, 0, 56801
2026/05/29 23:07:31.071, 2, 0, 0, 56753
2026/05/29 23:07:31.076, 3, 0, 0, 56801
2026/05/29 23:07:32.080, 0, 0, 0, 56753
2026/05/29 23:07:32.082, 1, 0, 0, 56801
2026/05/29 23:07:32.083, 2, 0, 0, 56753
2026/05/29 23:07:32.086, 3, 0, 0, 56801
2026/05/29 23:07:33.087, 0, 0, 0, 56753
2026/05/29 23:07:33.088, 1, 0, 0, 56801
2026/05/29 23:07:33.090, 2, 0, 0, 56753
2026/05/29 23:07:33.092, 3, 0, 0, 56801
2026/05/29 23:07:34.093, 0, 0, 0, 56753
2026/05/29 23:07:34.095, 1, 49, 50, 56801
2026/05/29 23:07:34.097, 2, 0, 0, 56753
2026/05/29 23:07:34.100, 3, 0, 0, 56801
2026/05/29 23:07:35.101, 0, 99, 67, 56753
2026/05/29 23:07:35.103, 1, 98, 53, 56801
2026/05/29 23:07:35.105, 2, 97, 83, 56753
2026/05/29 23:07:35.111, 3, 99, 72, 56801
2026/05/29 23:07:36.113, 0, 96, 73, 56753
2026/05/29 23:07:36.115, 1, 98, 57, 56801
2026/05/29 23:07:36.117, 2, 99, 86, 56753
2026/05/29 23:07:36.121, 3, 96, 78, 56801
2026/05/29 23:07:37.124, 0, 0, 0, 56753
2026/05/29 23:07:37.125, 1, 0, 0, 56801
2026/05/29 23:07:37.126, 2, 0, 0, 56753
2026/05/29 23:07:37.127, 3, 0, 0, 56801
2026/05/29 23:07:38.129, 0, 0, 0, 56753
2026/05/29 23:07:38.130, 1, 0, 0, 56801
2026/05/29 23:07:38.131, 2, 0, 0, 56753
2026/05/29 23:07:38.132, 3, 0, 0, 56801
2026/05/29 23:07:39.133, 0, 0, 0, 56753
2026/05/29 23:07:39.142, 1, 0, 0, 56801
2026/05/29 23:07:39.143, 2, 0, 0, 56753
2026/05/29 23:07:39.144, 3, 0, 0, 56803
2026/05/29 23:07:40.146, 0, 0, 0, 56753
2026/05/29 23:07:40.147, 1, 0, 0, 56801
2026/05/29 23:07:40.148, 2, 0, 0, 56755
2026/05/29 23:07:40.149, 3, 0, 0, 56803
2026/05/29 23:07:41.150, 0, 0, 0, 56753
2026/05/29 23:07:41.151, 1, 0, 0, 56803
2026/05/29 23:07:41.153, 2, 0, 0, 56755
2026/05/29 23:07:41.154, 3, 0, 0, 56803
2026/05/29 23:07:42.155, 0, 0, 0, 56755
2026/05/29 23:07:42.156, 1, 0, 0, 56803
2026/05/29 23:07:42.157, 2, 0, 0, 56755
2026/05/29 23:07:42.158, 3, 0, 0, 56803
2026/05/29 23:07:43.159, 0, 0, 0, 56755
2026/05/29 23:07:43.161, 1, 98, 64, 56805
2026/05/29 23:07:43.162, 2, 98, 64, 56757
2026/05/29 23:07:43.164, 3, 0, 0, 56805
2026/05/29 23:07:44.165, 0, 97, 61, 56757
2026/05/29 23:07:44.167, 1, 98, 83, 56805
2026/05/29 23:07:44.169, 2, 98, 83, 56757
2026/05/29 23:07:44.175, 3, 98, 63, 56805
2026/05/29 23:07:45.185, 0, 97, 56, 56757
2026/05/29 23:07:45.188, 1, 0, 0, 56805
2026/05/29 23:07:45.189, 2, 0, 0, 56757
2026/05/29 23:07:45.190, 3, 13, 14, 56805
2026/05/29 23:07:46.192, 0, 0, 0, 56757
2026/05/29 23:07:46.193, 1, 0, 0, 56805
2026/05/29 23:07:46.195, 2, 0, 0, 56757
2026/05/29 23:07:46.196, 3, 0, 0, 56805
2026/05/29 23:07:47.197, 0, 0, 0, 56757
2026/05/29 23:07:47.198, 1, 0, 0, 56805
2026/05/29 23:07:47.199, 2, 0, 0, 56757
2026/05/29 23:07:47.200, 3, 0, 0, 56805
2026/05/29 23:07:48.201, 0, 0, 0, 56757
2026/05/29 23:07:48.203, 1, 0, 0, 56805
2026/05/29 23:07:48.204, 2, 0, 0, 56757
2026/05/29 23:07:48.205, 3, 0, 0, 56805
2026/05/29 23:07:49.206, 0, 0, 0, 56757
2026/05/29 23:07:49.208, 1, 0, 0, 56805
2026/05/29 23:07:49.209, 2, 0, 0, 56757
2026/05/29 23:07:49.210, 3, 0, 0, 56805
2026/05/29 23:07:50.211, 0, 0, 0, 56757
2026/05/29 23:07:50.213, 1, 0, 0, 56805
2026/05/29 23:07:50.214, 2, 0, 0, 56757
2026/05/29 23:07:50.215, 3, 0, 0, 56805
2026/05/29 23:07:51.216, 0, 0, 0, 56757
2026/05/29 23:07:51.218, 1, 0, 0, 56805
2026/05/29 23:07:51.222, 2, 36, 24, 56757
2026/05/29 23:07:51.224, 3, 0, 0, 56805
2026/05/29 23:07:52.225, 0, 98, 77, 56757
2026/05/29 23:07:52.228, 1, 98, 51, 56805
2026/05/29 23:07:52.232, 2, 98, 61, 56757
2026/05/29 23:07:52.235, 3, 97, 64, 56805
2026/05/29 23:07:53.237, 0, 97, 73, 56757
2026/05/29 23:07:53.245, 1, 96, 59, 56805
2026/05/29 23:07:53.250, 2, 97, 51, 56757
2026/05/29 23:07:53.252, 3, 97, 76, 56805
2026/05/29 23:07:54.254, 0, 94, 72, 56757
2026/05/29 23:07:54.258, 1, 97, 72, 56805
2026/05/29 23:07:54.261, 2, 98, 74, 56757
2026/05/29 23:07:54.262, 3, 97, 70, 56805
2026/05/29 23:07:55.264, 0, 35, 28, 56757
2026/05/29 23:07:55.268, 1, 97, 73, 56805
2026/05/29 23:07:55.271, 2, 56, 48, 56757
2026/05/29 23:07:55.276, 3, 98, 54, 56805
2026/05/29 23:07:56.286, 0, 57, 52, 56759
2026/05/29 23:07:56.288, 1, 98, 71, 56807
2026/05/29 23:07:56.290, 2, 51, 44, 56759
2026/05/29 23:07:56.292, 3, 98, 57, 56807
2026/05/29 23:07:57.297, 0, 60, 51, 56759
2026/05/29 23:07:57.299, 1, 98, 79, 56807
2026/05/29 23:07:57.301, 2, 79, 62, 56759
2026/05/29 23:07:57.303, 3, 98, 68, 56807
2026/05/29 23:07:58.309, 0, 4, 3, 56759
2026/05/29 23:07:58.310, 1, 89, 76, 56807
2026/05/29 23:07:58.311, 2, 36, 28, 56759
2026/05/29 23:07:58.312, 3, 98, 55, 56807
2026/05/29 23:07:59.314, 0, 98, 73, 56759
2026/05/29 23:07:59.316, 1, 0, 0, 56807
2026/05/29 23:07:59.317, 2, 0, 0, 56759
2026/05/29 23:07:59.318, 3, 0, 0, 56807
2026/05/29 23:08:00.319, 0, 0, 0, 56759
2026/05/29 23:08:00.320, 1, 0, 0, 56807
2026/05/29 23:08:00.321, 2, 0, 0, 56759
2026/05/29 23:08:00.323, 3, 0, 0, 56807
2026/05/29 23:08:01.324, 0, 0, 0, 56759
2026/05/29 23:08:01.325, 1, 0, 0, 56807
2026/05/29 23:08:01.326, 2, 0, 0, 56759
2026/05/29 23:08:01.327, 3, 0, 0, 56807
2026/05/29 23:08:02.329, 0, 0, 0, 56759
2026/05/29 23:08:02.330, 1, 0, 0, 56807
2026/05/29 23:08:02.331, 2, 0, 0, 56759
2026/05/29 23:08:02.332, 3, 0, 0, 56807
2026/05/29 23:08:03.333, 0, 0, 0, 56759
2026/05/29 23:08:03.344, 1, 98, 72, 56807
2026/05/29 23:08:03.346, 2, 98, 72, 56759
2026/05/29 23:08:03.348, 3, 0, 0, 56807
2026/05/29 23:08:04.350, 0, 98, 79, 56759
2026/05/29 23:08:04.351, 1, 0, 0, 56807
2026/05/29 23:08:04.353, 2, 0, 0, 56759
2026/05/29 23:08:04.354, 3, 99, 88, 56807
2026/05/29 23:08:05.356, 0, 0, 0, 56759
2026/05/29 23:08:05.358, 1, 0, 0, 56807
2026/05/29 23:08:05.359, 2, 0, 0, 56759
2026/05/29 23:08:05.360, 3, 0, 0, 56807
2026/05/29 23:08:06.361, 0, 0, 0, 56759
2026/05/29 23:08:06.363, 1, 0, 0, 56807
2026/05/29 23:08:06.364, 2, 0, 0, 56759
2026/05/29 23:08:06.365, 3, 0, 0, 56807
2026/05/29 23:08:07.366, 0, 0, 0, 56759
2026/05/29 23:08:07.368, 1, 0, 0, 56807
2026/05/29 23:08:07.369, 2, 0, 0, 56759
2026/05/29 23:08:07.376, 3, 0, 0, 56807
2026/05/29 23:08:08.382, 0, 0, 0, 56759
2026/05/29 23:08:08.383, 1, 0, 0, 56807
2026/05/29 23:08:08.384, 2, 0, 0, 56759
2026/05/29 23:08:08.386, 3, 0, 0, 56807
2026/05/29 23:08:09.387, 0, 0, 0, 56759
2026/05/29 23:08:09.388, 1, 0, 0, 56807
2026/05/29 23:08:09.389, 2, 0, 0, 56759
2026/05/29 23:08:09.390, 3, 0, 0, 56809
2026/05/29 23:08:10.391, 0, 0, 0, 56759
2026/05/29 23:08:10.393, 1, 97, 67, 56807
2026/05/29 23:08:10.395, 2, 98, 77, 56759
2026/05/29 23:08:10.397, 3, 91, 62, 56809
2026/05/29 23:08:11.399, 0, 91, 71, 56759
2026/05/29 23:08:11.401, 1, 98, 84, 56807
2026/05/29 23:08:11.402, 2, 96, 95, 56759
2026/05/29 23:08:11.404, 3, 93, 79, 56809
2026/05/29 23:08:12.408, 0, 98, 75, 56759
2026/05/29 23:08:12.409, 1, 0, 0, 56807
2026/05/29 23:08:12.411, 2, 0, 0, 56759
2026/05/29 23:08:12.412, 3, 58, 43, 56809
2026/05/29 23:08:13.413, 0, 0, 0, 56759
2026/05/29 23:08:13.415, 1, 0, 0, 56807
2026/05/29 23:08:13.416, 2, 0, 0, 56759
2026/05/29 23:08:13.417, 3, 0, 0, 56809
2026/05/29 23:08:14.418, 0, 0, 0, 56759
2026/05/29 23:08:14.419, 1, 0, 0, 56809
2026/05/29 23:08:14.421, 2, 0, 0, 56761
2026/05/29 23:08:14.422, 3, 0, 0, 56809
2026/05/29 23:08:15.423, 0, 0, 0, 56761
2026/05/29 23:08:15.424, 1, 0, 0, 56809
2026/05/29 23:08:15.425, 2, 0, 0, 56761
2026/05/29 23:08:15.427, 3, 0, 0, 56809
2026/05/29 23:08:16.428, 0, 0, 0, 56761
2026/05/29 23:08:16.430, 1, 0, 0, 56809
2026/05/29 23:08:16.431, 2, 0, 0, 56761
2026/05/29 23:08:16.434, 3, 0, 0, 56809
2026/05/29 23:08:17.435, 0, 98, 70, 56761
2026/05/29 23:08:17.444, 1, 98, 87, 56809
2026/05/29 23:08:17.447, 2, 98, 67, 56761
2026/05/29 23:08:17.449, 3, 98, 70, 56809
2026/05/29 23:08:18.451, 0, 98, 53, 56761
2026/05/29 23:08:18.453, 1, 97, 73, 56809
2026/05/29 23:08:18.455, 2, 98, 59, 56761
2026/05/29 23:08:18.457, 3, 49, 46, 56809
2026/05/29 23:08:19.459, 0, 98, 82, 56761
2026/05/29 23:08:19.461, 1, 60, 53, 56809
2026/05/29 23:08:19.462, 2, 90, 77, 56761
2026/05/29 23:08:19.464, 3, 97, 61, 56809
2026/05/29 23:08:20.466, 0, 97, 52, 56761
2026/05/29 23:08:20.468, 1, 98, 66, 56809
2026/05/29 23:08:20.472, 2, 98, 62, 56761
2026/05/29 23:08:20.477, 3, 97, 86, 56809
2026/05/29 23:08:21.481, 0, 56, 48, 56761
2026/05/29 23:08:21.484, 1, 69, 64, 56809
2026/05/29 23:08:21.485, 2, 87, 79, 56761
2026/05/29 23:08:21.487, 3, 98, 59, 56809
2026/05/29 23:08:22.488, 0, 98, 57, 56761
2026/05/29 23:08:22.490, 1, 98, 73, 56809
2026/05/29 23:08:22.492, 2, 98, 65, 56763
2026/05/29 23:08:22.494, 3, 53, 49, 56811
2026/05/29 23:08:23.495, 0, 99, 88, 56763
